timestamp,region,tower_id,hour,day_of_week,is_peak_hour,weather,call_drop_rate,cssr,packet_loss,latency_ms,throughput_mbps,dl_speed_mbps,ul_speed_mbps,session_failures,customer_complaints,experience_label
2026-03-21 03:14:24,Bangalore_Outer,TWR_BAN_004,3,5,0,Rainy,0.36,99.855,0.292,27.31,144.59,38.41,27.53,4,0,Good
2026-03-03 22:17:24,Mumbai_East,TWR_MUM_004,22,1,1,Cloudy,2.731,85.661,1.38,79.79,40.85,19.82,9.58,7,3,Moderate
2026-03-18 08:34:24,Bangalore_Tech,TWR_BAN_005,8,2,1,Cloudy,2.838,94.471,2.439,89.29,22.41,15.16,6.2,25,4,Poor
2026-03-03 04:11:24,Pune_Central,TWR_PUN_005,4,1,0,Cloudy,1.446,90.422,2.087,63.71,59.77,17.59,6.19,8,5,Moderate
2026-03-09 18:14:24,Pune_Central,TWR_PUN_004,18,0,1,Clear,10.733,82.386,8.555,438.27,18.93,8.43,0.1,44,28,Poor
2026-03-20 09:20:24,Hyderabad_City,TWR_HYD_001,9,4,1,Clear,0.394,98.863,0.571,40.63,69.11,61.73,10.11,0,1,Good
2026-03-16 14:42:24,Chennai_Central,TWR_CHE_001,14,0,0,Thunderstorm,10.559,70.942,10.833,564.69,14.17,5.58,2.11,38,36,Poor
2026-03-17 02:27:24,Chennai_South,TWR_CHE_004,2,1,0,Rainy,0.321,96.3,0.264,47.98,96.39,42.24,17.77,3,0,Good
2026-03-14 10:21:24,Hyderabad_City,TWR_HYD_005,10,5,1,Cloudy,1.491,92.82,0.961,86.77,45.89,24.69,7.23,17,8,Moderate
2026-03-10 15:00:24,Bangalore_Tech,TWR_BAN_004,15,1,0,Cloudy,0.27,99.806,0.516,39.92,97.63,33.99,22.38,2,2,Good
2026-03-11 09:59:24,Ahmedabad_West,TWR_AHM_005,9,2,1,Clear,16.302,70.33,4.153,376.08,8.37,7.77,1.25,62,30,Poor
2026-03-09 15:57:24,Delhi_NCR,TWR_DEL_005,15,0,0,Cloudy,0.827,95.188,0.111,29.68,141.57,36.5,25.46,3,1,Good
2026-03-25 21:18:24,Chennai_North,TWR_CHE_001,21,2,1,Foggy,2.086,93.286,2.122,147.8,29.91,23.6,6.16,20,7,Poor
2026-02-27 17:34:24,Chennai_North,TWR_CHE_001,17,4,0,Rainy,0.364,95.224,0.367,42.87,90.74,44.29,25.21,1,1,Good
2026-03-06 19:22:24,Chennai_South,TWR_CHE_001,19,4,1,Clear,2.656,90.062,1.062,82.06,53.76,24.88,6.63,26,6,Poor
2026-02-28 20:30:24,Delhi_NCR,TWR_DEL_001,20,5,1,Cloudy,0.776,97.055,0.56,21.84,105.38,42.11,17.11,0,1,Good
2026-03-02 18:41:24,Pune_Central,TWR_PUN_005,18,0,1,Cloudy,0.938,98.505,0.712,28.16,96.65,51.24,14.0,1,2,Good
2026-03-19 20:32:24,Chennai_Central,TWR_CHE_003,20,3,1,Thunderstorm,0.233,95.301,0.42,33.85,67.06,74.9,29.17,4,1,Good
2026-03-06 13:51:24,Hyderabad_City,TWR_HYD_001,13,4,0,Clear,0.706,97.304,0.154,19.89,107.04,51.23,18.62,0,1,Good
2026-03-02 06:36:24,Mumbai_East,TWR_MUM_003,6,0,0,Clear,6.947,62.268,8.691,124.32,5.2,4.04,0.54,75,27,Poor
2026-03-13 03:12:24,Kolkata_North,TWR_KOL_001,3,4,0,Clear,3.31,91.863,1.166,53.96,51.19,16.28,9.33,16,3,Moderate
2026-03-05 19:22:24,Bangalore_Tech,TWR_BAN_004,19,3,1,Rainy,1.403,88.334,1.452,122.87,38.58,22.79,8.56,10,10,Poor
